building_id,region_slug,lon,lat,height_m,surge_class,surge_ft,flood_active,exposure_score,exposure_category
c4c421ef-76ee-4b67-a19e-7308109fdb33,south-beach-miami,-80.137506,25.77479,4.630752086639404,1,0.5,False,0.015,low
68c7b270-fea2-4bb5-b76b-45ab28ca5fbc,south-beach-miami,-80.137512,25.775377,12.2,1,0.5,False,0.015,low
5f1155c7-59c3-43c4-bc89-eddd0fa661d5,south-beach-miami,-80.137534,25.775578,10.7,1,0.5,False,0.015,low
c56c273e-3129-4bcc-a135-339608958020,south-beach-miami,-80.137568,25.775918,7.9,2,1.5,False,0.045,low
ba89edbe-61e7-46a0-9e1c-3e55371a823f,south-beach-miami,-80.137595,25.776065,9.6,0,0.0,False,0.0,none
21c5e4eb-8c1c-46bc-b767-f0383e09e270,south-beach-miami,-80.137581,25.776201,4.9,0,0.0,False,0.0,none
7f40dec2-96a5-41a0-80f6-e3eb77a2d1f9,south-beach-miami,-80.137486,25.776333,7.4,0,0.0,False,0.0,none
292ac631-4d98-4a4b-809b-39f94844745f,south-beach-miami,-80.13767,25.776335,7.4,0,0.0,False,0.0,none
292e60fd-93ba-4dd0-913c-960822bb7371,south-beach-miami,-80.137681,25.776455,7.4,0,0.0,False,0.0,none
d69a7462-f02c-4ffe-8f52-6f66a63e4152,south-beach-miami,-80.137677,25.77661,7.3,0,0.0,False,0.0,none
f1e46695-066d-4c1a-93a8-355190b7fdb2,south-beach-miami,-80.137683,25.776742,7.3,0,0.0,False,0.0,none
ce308b8d-1f2c-40f7-a4a8-4c21c3d82889,south-beach-miami,-80.1375,25.77675,7.2,1,0.5,False,0.015,low
889d2f14-c93b-474f-b1a2-5fc6d829148e,south-beach-miami,-80.137495,25.776606,7.5,0,0.0,False,0.0,none
3318b705-8c0c-4c15-9664-57a0c2536f76,south-beach-miami,-80.137491,25.776477,9.0,0,0.0,False,0.0,none
5144d0f7-8717-487c-989f-7dd7b5ef1a9f,south-beach-miami,-80.136987,25.776489,3.400912284851074,2,1.5,False,0.045,low
b1903993-bc2a-49a2-a6b2-5f0b093ccbc9,south-beach-miami,-80.136955,25.776626,8.8,1,0.5,False,0.015,low
06e9c812-3a50-41c7-be20-4bc139f1c501,south-beach-miami,-80.136969,25.776762,10.5,1,0.5,False,0.015,low
1191aa39-ac07-4554-87a3-da3cb3b43d9e,south-beach-miami,-80.136766,25.776743,10.4,2,1.5,False,0.045,low
1fb199d9-761f-4aac-a14b-b6d3b5efade4,south-beach-miami,-80.136786,25.776622,7.624255657196045,2,1.5,False,0.045,low
957e924f-581c-4907-b7a6-90d226582af3,south-beach-miami,-80.136814,25.776492,7.888255596160889,1,0.5,False,0.015,low
65a4f9c4-5142-4052-ad14-aecf29c2ff41,south-beach-miami,-80.136889,25.776349,6.786001682281494,1,0.5,False,0.015,low
9190050e-6e66-49b6-902e-a5d92e5f0a58,south-beach-miami,-80.136808,25.776055,11.2,1,0.5,False,0.015,low
32489f5b-9df7-4169-98ff-174ee2c8a6fb,south-beach-miami,-80.136938,25.775531,11.2,1,0.5,False,0.015,low
3fd94c20-3ee2-42a1-860f-b3d947b72ad8,south-beach-miami,-80.1364,25.776011,3.8,2,1.5,False,0.045,low
d26e560a-41f0-4c08-9f67-cfd09a409048,south-beach-miami,-80.1364,25.775612,6.4,2,1.5,False,0.045,low
18cdc043-aa9f-4024-9b7e-80802b45fd2d,south-beach-miami,-80.135857,25.776026,8.1,2,1.5,False,0.045,low
78f039ee-206d-4c07-b70a-c89930e6c9f1,south-beach-miami,-80.135895,25.776236,10.5,1,0.5,False,0.015,low
